,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.733,0.932,0.946,0.828,0.862,0.923,0.941,0.909,0.901
AAPL,0.733,0.0,0.759,0.859,0.945,0.448,0.857,0.871,0.848,0.744
AMD,0.932,0.759,0.0,0.958,0.871,0.878,0.954,0.959,0.935,0.978
AMZN,0.946,0.859,0.958,0.0,0.93,0.798,0.961,0.98,0.937,0.926
GOOGL,0.828,0.945,0.871,0.93,0.0,0.62,0.936,0.937,0.897,0.864
INTC,0.862,0.448,0.878,0.798,0.62,0.0,0.768,0.771,0.719,0.845
MARA,0.923,0.857,0.954,0.961,0.936,0.768,0.0,0.976,0.968,0.957
NVDA,0.941,0.871,0.959,0.98,0.937,0.771,0.976,0.0,0.97,0.946
PLUG,0.909,0.848,0.935,0.937,0.897,0.719,0.968,0.97,0.0,0.941
TSLA,0.901,0.744,0.978,0.926,0.864,0.845,0.957,0.946,0.941,0.0
