,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.807,0.54,0.712,0.06,0.857,0.214,0.51,0.799,0.829
AAPL,0.807,0.0,0.746,0.931,0.381,0.832,0.29,0.792,0.717,0.908
AMD,0.54,0.746,0.0,0.784,0.416,0.505,0.057,0.935,0.642,0.783
AMZN,0.712,0.931,0.784,0.0,0.474,0.75,0.278,0.814,0.683,0.886
GOOGL,0.06,0.381,0.416,0.474,0.0,0.121,0.102,0.468,0.128,0.261
INTC,0.857,0.832,0.505,0.75,0.121,0.0,0.369,0.524,0.828,0.846
MARA,0.214,0.29,0.057,0.278,0.102,0.369,0.0,0.157,0.218,0.207
NVDA,0.51,0.792,0.935,0.814,0.468,0.524,0.157,0.0,0.581,0.75
PLUG,0.799,0.717,0.642,0.683,0.128,0.828,0.218,0.581,0.0,0.885
TSLA,0.829,0.908,0.783,0.886,0.261,0.846,0.207,0.75,0.885,0.0
