,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.362,0.151,0.667,-0.344,0.236,-0.557,-0.454,0.015,0.685
AAPL,-0.362,0.0,0.323,-0.022,0.662,0.363,0.479,0.49,0.25,0.028
AMD,0.151,0.323,0.0,0.775,0.607,0.731,0.534,0.713,0.845,0.623
AMZN,0.667,-0.022,0.775,0.0,0.182,0.636,-0.038,0.173,0.529,0.917
GOOGL,-0.344,0.662,0.607,0.182,0.0,0.685,0.653,0.714,0.62,0.131
INTC,0.236,0.363,0.731,0.636,0.685,0.0,0.334,0.402,0.583,0.566
MARA,-0.557,0.479,0.534,-0.038,0.653,0.334,0.0,0.888,0.701,-0.218
NVDA,-0.454,0.49,0.713,0.173,0.714,0.402,0.888,0.0,0.774,-0.011
PLUG,0.015,0.25,0.845,0.529,0.62,0.583,0.701,0.774,0.0,0.339
TSLA,0.685,0.028,0.623,0.917,0.131,0.566,-0.218,-0.011,0.339,0.0
