,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.695,0.489,0.591,0.505,0.055,-0.041,0.418,-0.199,0.475
AAPL,0.695,0.0,0.716,0.745,0.604,0.07,-0.128,0.7,-0.088,0.773
AMD,0.489,0.716,0.0,0.908,0.829,-0.295,-0.263,0.937,-0.0,0.896
AMZN,0.591,0.745,0.908,0.0,0.928,-0.238,-0.292,0.795,-0.219,0.842
GOOGL,0.505,0.604,0.829,0.928,0.0,-0.43,-0.443,0.653,-0.315,0.707
INTC,0.055,0.07,-0.295,-0.238,-0.43,0.0,0.599,-0.127,0.432,0.047
MARA,-0.041,-0.128,-0.263,-0.292,-0.443,0.599,0.0,-0.117,0.457,-0.094
NVDA,0.418,0.7,0.937,0.795,0.653,-0.127,-0.117,0.0,0.158,0.898
PLUG,-0.199,-0.088,-0.0,-0.219,-0.315,0.432,0.457,0.158,0.0,0.224
TSLA,0.475,0.773,0.896,0.842,0.707,0.047,-0.094,0.898,0.224,0.0
