,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.751,0.803,0.908,0.66,0.72,0.913,0.778,0.941,0.581
AAPL,0.751,0.0,0.948,0.892,0.92,0.401,0.893,0.989,0.735,0.943
AMD,0.803,0.948,0.0,0.913,0.875,0.58,0.931,0.96,0.837,0.845
AMZN,0.908,0.892,0.913,0.0,0.835,0.563,0.915,0.895,0.882,0.793
GOOGL,0.66,0.92,0.875,0.835,0.0,0.334,0.846,0.916,0.671,0.84
INTC,0.72,0.401,0.58,0.563,0.334,0.0,0.646,0.439,0.807,0.16
MARA,0.913,0.893,0.931,0.915,0.846,0.646,0.0,0.922,0.896,0.734
NVDA,0.778,0.989,0.96,0.895,0.916,0.439,0.922,0.0,0.754,0.924
PLUG,0.941,0.735,0.837,0.882,0.671,0.807,0.896,0.754,0.0,0.53
TSLA,0.581,0.943,0.845,0.793,0.84,0.16,0.734,0.924,0.53,0.0
