,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.136,-0.244,0.176,-0.312,0.209,0.161,0.008,0.275,0.293
AAPL,0.136,0.0,0.446,0.909,0.772,0.846,0.557,0.911,-0.5,0.622
AMD,-0.244,0.446,0.0,0.496,0.59,0.146,0.385,0.702,-0.002,0.636
AMZN,0.176,0.909,0.496,0.0,0.708,0.834,0.582,0.838,-0.413,0.574
GOOGL,-0.312,0.772,0.59,0.708,0.0,0.553,0.631,0.837,-0.662,0.38
INTC,0.209,0.846,0.146,0.834,0.553,0.0,0.523,0.714,-0.613,0.265
MARA,0.161,0.557,0.385,0.582,0.631,0.523,0.0,0.627,-0.376,0.302
NVDA,0.008,0.911,0.702,0.838,0.837,0.714,0.627,0.0,-0.479,0.671
PLUG,0.275,-0.5,-0.002,-0.413,-0.662,-0.613,-0.376,-0.479,0.0,0.181
TSLA,0.293,0.622,0.636,0.574,0.38,0.265,0.302,0.671,0.181,0.0
