,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.888,-0.223,0.71,-0.521,0.855,0.502,0.733,0.73,0.88
AAPL,0.888,0.0,-0.436,0.832,-0.474,0.758,0.637,0.773,0.521,0.832
AMD,-0.223,-0.436,0.0,-0.417,0.615,-0.038,-0.807,-0.247,0.314,-0.139
AMZN,0.71,0.832,-0.417,0.0,-0.274,0.488,0.59,0.549,0.389,0.69
GOOGL,-0.521,-0.474,0.615,-0.274,0.0,-0.238,-0.704,-0.273,-0.021,-0.334
INTC,0.855,0.758,-0.038,0.488,-0.238,0.0,0.266,0.761,0.791,0.8
MARA,0.502,0.637,-0.807,0.59,-0.704,0.266,0.0,0.528,-0.034,0.454
NVDA,0.733,0.773,-0.247,0.549,-0.273,0.761,0.528,0.0,0.529,0.72
PLUG,0.73,0.521,0.314,0.389,-0.021,0.791,-0.034,0.529,0.0,0.763
TSLA,0.88,0.832,-0.139,0.69,-0.334,0.8,0.454,0.72,0.763,0.0
