,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.77,-0.51,0.079,-0.711,-0.617,0.721,-0.702,0.491,0.617
AAPL,0.77,0.0,-0.22,0.367,-0.557,-0.664,0.623,-0.616,0.661,0.572
AMD,-0.51,-0.22,0.0,0.392,0.627,0.442,-0.308,0.496,0.004,-0.343
AMZN,0.079,0.367,0.392,0.0,0.416,-0.198,0.1,0.134,0.311,-0.007
GOOGL,-0.711,-0.557,0.627,0.416,0.0,0.372,-0.574,0.721,-0.375,-0.423
INTC,-0.617,-0.664,0.442,-0.198,0.372,0.0,-0.458,0.4,-0.163,-0.486
MARA,0.721,0.623,-0.308,0.1,-0.574,-0.458,0.0,-0.486,0.453,0.679
NVDA,-0.702,-0.616,0.496,0.134,0.721,0.4,-0.486,0.0,-0.631,-0.355
PLUG,0.491,0.661,0.004,0.311,-0.375,-0.163,0.453,-0.631,0.0,0.182
TSLA,0.617,0.572,-0.343,-0.007,-0.423,-0.486,0.679,-0.355,0.182,0.0
