,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.695,-0.846,-0.539,-0.646,0.298,-0.868,-0.79,-0.831,-0.747
AAPL,-0.695,0.0,0.899,0.838,0.631,-0.118,0.81,0.932,0.73,0.818
AMD,-0.846,0.899,0.0,0.761,0.671,-0.273,0.931,0.972,0.908,0.919
AMZN,-0.539,0.838,0.761,0.0,0.756,0.217,0.711,0.799,0.697,0.585
GOOGL,-0.646,0.631,0.671,0.756,0.0,0.373,0.778,0.639,0.679,0.423
INTC,0.298,-0.118,-0.273,0.217,0.373,0.0,-0.115,-0.276,-0.224,-0.472
MARA,-0.868,0.81,0.931,0.711,0.778,-0.115,0.0,0.865,0.884,0.838
NVDA,-0.79,0.932,0.972,0.799,0.639,-0.276,0.865,0.0,0.851,0.909
PLUG,-0.831,0.73,0.908,0.697,0.679,-0.224,0.884,0.851,0.0,0.795
TSLA,-0.747,0.818,0.919,0.585,0.423,-0.472,0.838,0.909,0.795,0.0
