,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.778,0.466,-0.172,-0.125,0.748,0.677,0.711,-0.763,0.131
AAPL,0.778,0.0,0.684,-0.127,-0.037,0.87,0.842,0.809,-0.614,0.396
AMD,0.466,0.684,0.0,-0.296,-0.29,0.736,0.706,0.834,-0.396,0.637
AMZN,-0.172,-0.127,-0.296,0.0,0.914,-0.525,0.043,-0.514,0.508,-0.177
GOOGL,-0.125,-0.037,-0.29,0.914,0.0,-0.406,-0.003,-0.513,0.508,-0.196
INTC,0.748,0.87,0.736,-0.525,-0.406,0.0,0.693,0.909,-0.751,0.363
MARA,0.677,0.842,0.706,0.043,-0.003,0.693,0.0,0.727,-0.436,0.526
NVDA,0.711,0.809,0.834,-0.514,-0.513,0.909,0.727,0.0,-0.756,0.483
PLUG,-0.763,-0.614,-0.396,0.508,0.508,-0.751,-0.436,-0.756,0.0,0.123
TSLA,0.131,0.396,0.637,-0.177,-0.196,0.363,0.526,0.483,0.123,0.0
