,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.152,-0.398,-0.166,-0.359,-0.167,-0.362,-0.298,0.036,0.092
AAPL,-0.152,0.0,0.829,0.897,0.921,0.787,0.836,0.902,0.802,0.858
AMD,-0.398,0.829,0.0,0.916,0.921,0.926,0.971,0.959,0.569,0.561
AMZN,-0.166,0.897,0.916,0.0,0.956,0.852,0.946,0.961,0.795,0.784
GOOGL,-0.359,0.921,0.921,0.956,0.0,0.813,0.946,0.975,0.784,0.763
INTC,-0.167,0.787,0.926,0.852,0.813,0.0,0.87,0.886,0.527,0.538
MARA,-0.362,0.836,0.971,0.946,0.946,0.87,0.0,0.977,0.644,0.628
NVDA,-0.298,0.902,0.959,0.961,0.975,0.886,0.977,0.0,0.712,0.717
PLUG,0.036,0.802,0.569,0.795,0.784,0.527,0.644,0.712,0.0,0.858
TSLA,0.092,0.858,0.561,0.784,0.763,0.538,0.628,0.717,0.858,0.0
