,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.527,0.858,0.717,0.491,-0.181,0.299,0.643,-0.297,0.216
AAPL,0.527,0.0,0.76,0.458,0.71,0.594,0.61,0.605,0.198,0.669
AMD,0.858,0.76,0.0,0.67,0.714,0.242,0.508,0.698,0.031,0.465
AMZN,0.717,0.458,0.67,0.0,0.762,0.088,0.682,0.925,0.241,0.627
GOOGL,0.491,0.71,0.714,0.762,0.0,0.589,0.885,0.836,0.576,0.81
INTC,-0.181,0.594,0.242,0.088,0.589,0.0,0.59,0.3,0.68,0.638
MARA,0.299,0.61,0.508,0.682,0.885,0.59,0.0,0.805,0.75,0.934
NVDA,0.643,0.605,0.698,0.925,0.836,0.3,0.805,0.0,0.374,0.779
PLUG,-0.297,0.198,0.031,0.241,0.576,0.68,0.75,0.374,0.0,0.749
TSLA,0.216,0.669,0.465,0.627,0.81,0.638,0.934,0.779,0.749,0.0
