,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.819,-0.503,0.862,0.513,-0.916,0.25,-0.264,0.888,0.895
AAPL,0.819,0.0,-0.312,0.812,0.328,-0.876,0.477,-0.459,0.86,0.843
AMD,-0.503,-0.312,0.0,-0.369,-0.511,0.466,0.165,0.412,-0.497,-0.527
AMZN,0.862,0.812,-0.369,0.0,0.651,-0.874,0.184,-0.16,0.818,0.782
GOOGL,0.513,0.328,-0.511,0.651,0.0,-0.552,-0.381,0.089,0.391,0.533
INTC,-0.916,-0.876,0.466,-0.874,-0.552,0.0,-0.224,0.23,-0.803,-0.888
MARA,0.25,0.477,0.165,0.184,-0.381,-0.224,0.0,-0.325,0.371,0.252
NVDA,-0.264,-0.459,0.412,-0.16,0.089,0.23,-0.325,0.0,-0.498,-0.324
PLUG,0.888,0.86,-0.497,0.818,0.391,-0.803,0.371,-0.498,0.0,0.83
TSLA,0.895,0.843,-0.527,0.782,0.533,-0.888,0.252,-0.324,0.83,0.0
