,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.896,0.385,0.853,0.846,0.695,0.657,0.807,0.824,0.902
AAPL,0.896,0.0,0.479,0.932,0.966,0.86,0.792,0.872,0.934,0.981
AMD,0.385,0.479,0.0,0.645,0.602,0.766,0.812,0.78,0.272,0.345
AMZN,0.853,0.932,0.645,0.0,0.966,0.855,0.918,0.953,0.856,0.899
GOOGL,0.846,0.966,0.602,0.966,0.0,0.894,0.889,0.931,0.909,0.928
INTC,0.695,0.86,0.766,0.855,0.894,0.0,0.878,0.903,0.721,0.783
MARA,0.657,0.792,0.812,0.918,0.889,0.878,0.0,0.949,0.683,0.721
NVDA,0.807,0.872,0.78,0.953,0.931,0.903,0.949,0.0,0.744,0.803
PLUG,0.824,0.934,0.272,0.856,0.909,0.721,0.683,0.744,0.0,0.949
TSLA,0.902,0.981,0.345,0.899,0.928,0.783,0.721,0.803,0.949,0.0
