,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.321,-0.747,-0.252,-0.519,-0.069,-0.822,-0.408,-0.742,-0.701
AAPL,-0.321,0.0,0.695,0.917,0.828,0.71,0.543,0.909,0.505,0.428
AMD,-0.747,0.695,0.0,0.699,0.821,0.466,0.92,0.78,0.898,0.869
AMZN,-0.252,0.917,0.699,0.0,0.793,0.621,0.494,0.931,0.555,0.438
GOOGL,-0.519,0.828,0.821,0.793,0.0,0.562,0.732,0.897,0.684,0.533
INTC,-0.069,0.71,0.466,0.621,0.562,0.0,0.374,0.536,0.114,0.375
MARA,-0.822,0.543,0.92,0.494,0.732,0.374,0.0,0.599,0.835,0.897
NVDA,-0.408,0.909,0.78,0.931,0.897,0.536,0.599,0.0,0.662,0.447
PLUG,-0.742,0.505,0.898,0.555,0.684,0.114,0.835,0.662,0.0,0.783
TSLA,-0.701,0.428,0.869,0.438,0.533,0.375,0.897,0.447,0.783,0.0
