,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.698,0.486,0.602,0.555,-0.223,-0.009,0.324,-0.347,0.434
AAPL,0.698,0.0,0.711,0.733,0.668,-0.356,-0.156,0.588,-0.284,0.709
AMD,0.486,0.711,0.0,0.899,0.852,-0.646,-0.251,0.918,-0.164,0.917
AMZN,0.602,0.733,0.899,0.0,0.956,-0.613,-0.259,0.725,-0.391,0.834
GOOGL,0.555,0.668,0.852,0.956,0.0,-0.676,-0.371,0.653,-0.427,0.778
INTC,-0.223,-0.356,-0.646,-0.613,-0.676,0.0,0.556,-0.555,0.5,-0.431
MARA,-0.009,-0.156,-0.251,-0.259,-0.371,0.556,0.0,-0.179,0.412,-0.146
NVDA,0.324,0.588,0.918,0.725,0.653,-0.555,-0.179,0.0,0.045,0.85
PLUG,-0.347,-0.284,-0.164,-0.391,-0.427,0.5,0.412,0.045,0.0,0.072
TSLA,0.434,0.709,0.917,0.834,0.778,-0.431,-0.146,0.85,0.072,0.0
