,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.708,0.652,0.833,0.564,0.174,0.646,0.82,-0.191,0.555
AAPL,0.708,0.0,0.752,0.913,0.884,0.672,0.825,0.896,0.068,0.934
AMD,0.652,0.752,0.0,0.848,0.85,0.565,0.621,0.766,0.037,0.669
AMZN,0.833,0.913,0.848,0.0,0.894,0.544,0.767,0.893,0.013,0.836
GOOGL,0.564,0.884,0.85,0.894,0.0,0.764,0.774,0.826,0.16,0.87
INTC,0.174,0.672,0.565,0.544,0.764,0.0,0.724,0.631,0.462,0.739
MARA,0.646,0.825,0.621,0.767,0.774,0.724,0.0,0.883,0.377,0.874
NVDA,0.82,0.896,0.766,0.893,0.826,0.631,0.883,0.0,0.184,0.845
PLUG,-0.191,0.068,0.037,0.013,0.16,0.462,0.377,0.184,0.0,0.327
TSLA,0.555,0.934,0.669,0.836,0.87,0.739,0.874,0.845,0.327,0.0
