,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.652,0.631,0.944,0.843,0.759,0.683,0.58,0.731,0.924
AAPL,0.652,0.0,0.842,0.69,0.513,0.123,0.019,0.886,0.196,0.657
AMD,0.631,0.842,0.0,0.641,0.414,0.067,0.038,0.947,0.239,0.662
AMZN,0.944,0.69,0.641,0.0,0.83,0.747,0.623,0.642,0.73,0.929
GOOGL,0.843,0.513,0.414,0.83,0.0,0.782,0.701,0.336,0.753,0.865
INTC,0.759,0.123,0.067,0.747,0.782,0.0,0.908,0.033,0.884,0.732
MARA,0.683,0.019,0.038,0.623,0.701,0.908,0.0,-0.035,0.855,0.664
NVDA,0.58,0.886,0.947,0.642,0.336,0.033,-0.035,0.0,0.192,0.614
PLUG,0.731,0.196,0.239,0.73,0.753,0.884,0.855,0.192,0.0,0.803
TSLA,0.924,0.657,0.662,0.929,0.865,0.732,0.664,0.614,0.803,0.0
