,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.929,0.896,0.765,0.555,0.973,0.949,0.869,0.757,0.697
AAPL,0.929,0.0,0.92,0.914,0.793,0.917,0.881,0.965,0.911,0.84
AMD,0.896,0.92,0.0,0.892,0.76,0.905,0.786,0.95,0.778,0.706
AMZN,0.765,0.914,0.892,0.0,0.93,0.79,0.681,0.945,0.913,0.806
GOOGL,0.555,0.793,0.76,0.93,0.0,0.558,0.457,0.859,0.872,0.821
INTC,0.973,0.917,0.905,0.79,0.558,0.0,0.943,0.872,0.741,0.653
MARA,0.949,0.881,0.786,0.681,0.457,0.943,0.0,0.805,0.737,0.667
NVDA,0.869,0.965,0.95,0.945,0.859,0.872,0.805,0.0,0.906,0.847
PLUG,0.757,0.911,0.778,0.913,0.872,0.741,0.737,0.906,0.0,0.871
TSLA,0.697,0.84,0.706,0.806,0.821,0.653,0.667,0.847,0.871,0.0
