,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.825,-0.604,0.897,0.676,-0.919,-0.059,-0.342,0.885,0.759
AAPL,0.825,0.0,-0.622,0.961,0.759,-0.905,0.074,-0.596,0.843,0.85
AMD,-0.604,-0.622,0.0,-0.672,-0.844,0.668,0.284,0.678,-0.601,-0.848
AMZN,0.897,0.961,-0.672,0.0,0.816,-0.959,-0.068,-0.505,0.859,0.876
GOOGL,0.676,0.759,-0.844,0.816,0.0,-0.792,-0.386,-0.536,0.592,0.92
INTC,-0.919,-0.905,0.668,-0.959,-0.792,0.0,0.147,0.383,-0.802,-0.834
MARA,-0.059,0.074,0.284,-0.068,-0.386,0.147,0.0,-0.17,0.079,-0.16
NVDA,-0.342,-0.596,0.678,-0.505,-0.536,0.383,-0.17,0.0,-0.555,-0.624
PLUG,0.885,0.843,-0.601,0.859,0.592,-0.802,0.079,-0.555,0.0,0.709
TSLA,0.759,0.85,-0.848,0.876,0.92,-0.834,-0.16,-0.624,0.709,0.0
