,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.736,0.657,0.863,0.732,0.871,0.572,0.747,0.648,0.813
AAPL,0.736,0.0,0.881,0.83,0.904,0.763,0.552,0.882,0.826,0.887
AMD,0.657,0.881,0.0,0.846,0.942,0.726,0.314,0.935,0.797,0.853
AMZN,0.863,0.83,0.846,0.0,0.878,0.88,0.371,0.913,0.687,0.856
GOOGL,0.732,0.904,0.942,0.878,0.0,0.8,0.412,0.954,0.727,0.937
INTC,0.871,0.763,0.726,0.88,0.8,0.0,0.677,0.823,0.725,0.851
MARA,0.572,0.552,0.314,0.371,0.412,0.677,0.0,0.376,0.643,0.566
NVDA,0.747,0.882,0.935,0.913,0.954,0.823,0.376,0.0,0.693,0.911
PLUG,0.648,0.826,0.797,0.687,0.727,0.725,0.643,0.693,0.0,0.722
TSLA,0.813,0.887,0.853,0.856,0.937,0.851,0.566,0.911,0.722,0.0
