,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.58,0.857,0.749,0.83,0.925,0.041,-0.168,0.765,-0.045
AAPL,0.58,0.0,0.633,0.088,0.239,0.503,-0.12,0.283,0.101,0.607
AMD,0.857,0.633,0.0,0.592,0.657,0.735,-0.045,0.189,0.579,0.181
AMZN,0.749,0.088,0.592,0.0,0.898,0.813,0.338,-0.477,0.951,-0.501
GOOGL,0.83,0.239,0.657,0.898,0.0,0.852,0.254,-0.442,0.886,-0.419
INTC,0.925,0.503,0.735,0.813,0.852,0.0,0.052,-0.432,0.831,-0.24
MARA,0.041,-0.12,-0.045,0.338,0.254,0.052,0.0,-0.086,0.41,-0.054
NVDA,-0.168,0.283,0.189,-0.477,-0.442,-0.432,-0.086,0.0,-0.481,0.722
PLUG,0.765,0.101,0.579,0.951,0.886,0.831,0.41,-0.481,0.0,-0.454
TSLA,-0.045,0.607,0.181,-0.501,-0.419,-0.24,-0.054,0.722,-0.454,0.0
