,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.064,0.342,0.258,0.434,-0.179,0.295,0.259,-0.228,-0.367
AAPL,0.064,0.0,0.209,-0.536,0.77,0.612,-0.651,-0.624,-0.575,0.276
AMD,0.342,0.209,0.0,0.022,0.4,0.284,0.07,0.018,-0.322,-0.102
AMZN,0.258,-0.536,0.022,0.0,-0.344,-0.544,0.596,0.9,0.523,-0.323
GOOGL,0.434,0.77,0.4,-0.344,0.0,0.349,-0.301,-0.389,-0.604,0.038
INTC,-0.179,0.612,0.284,-0.544,0.349,0.0,-0.228,-0.417,-0.631,0.593
MARA,0.295,-0.651,0.07,0.596,-0.301,-0.228,0.0,0.82,0.185,0.03
NVDA,0.259,-0.624,0.018,0.9,-0.389,-0.417,0.82,0.0,0.411,-0.195
PLUG,-0.228,-0.575,-0.322,0.523,-0.604,-0.631,0.185,0.411,0.0,-0.402
TSLA,-0.367,0.276,-0.102,-0.323,0.038,0.593,0.03,-0.195,-0.402,0.0
