,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.091,-0.023,0.161,-0.05,0.777,0.829,0.012,-0.367,0.204
AAPL,0.091,0.0,0.856,0.728,0.379,0.276,0.193,0.817,0.535,0.711
AMD,-0.023,0.856,0.0,0.701,0.215,0.091,0.048,0.931,0.751,0.813
AMZN,0.161,0.728,0.701,0.0,0.241,0.546,0.355,0.827,0.448,0.838
GOOGL,-0.05,0.379,0.215,0.241,0.0,0.163,0.032,0.107,0.226,0.112
INTC,0.777,0.276,0.091,0.546,0.163,0.0,0.796,0.222,-0.247,0.407
MARA,0.829,0.193,0.048,0.355,0.032,0.796,0.0,0.083,-0.123,0.416
NVDA,0.012,0.817,0.931,0.827,0.107,0.222,0.083,0.0,0.599,0.841
PLUG,-0.367,0.535,0.751,0.448,0.226,-0.247,-0.123,0.599,0.0,0.637
TSLA,0.204,0.711,0.813,0.838,0.112,0.407,0.416,0.841,0.637,0.0
