,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.582,0.481,0.279,0.025,0.33,0.673,0.431,0.674,0.082
AAPL,0.582,0.0,0.794,0.841,0.284,0.161,0.709,0.89,0.85,0.581
AMD,0.481,0.794,0.0,0.669,-0.02,-0.099,0.79,0.668,0.566,0.27
AMZN,0.279,0.841,0.669,0.0,0.472,0.094,0.435,0.849,0.749,0.71
GOOGL,0.025,0.284,-0.02,0.472,0.0,0.376,-0.284,0.568,0.572,0.851
INTC,0.33,0.161,-0.099,0.094,0.376,0.0,0.022,0.287,0.382,0.336
MARA,0.673,0.709,0.79,0.435,-0.284,0.022,0.0,0.477,0.531,-0.017
NVDA,0.431,0.89,0.668,0.849,0.568,0.287,0.477,0.0,0.885,0.842
PLUG,0.674,0.85,0.566,0.749,0.572,0.382,0.531,0.885,0.0,0.711
TSLA,0.082,0.581,0.27,0.71,0.851,0.336,-0.017,0.842,0.711,0.0
