,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.348,-0.371,-0.496,-0.231,0.57,0.129,-0.474,-0.421,-0.317
AAPL,-0.348,0.0,0.929,0.864,0.542,0.257,0.535,0.894,0.741,0.853
AMD,-0.371,0.929,0.0,0.873,0.4,0.183,0.444,0.965,0.841,0.899
AMZN,-0.496,0.864,0.873,0.0,0.54,0.255,0.548,0.914,0.753,0.918
GOOGL,-0.231,0.542,0.4,0.54,0.0,0.376,0.53,0.358,0.297,0.424
INTC,0.57,0.257,0.183,0.255,0.376,0.0,0.629,0.117,0.088,0.351
MARA,0.129,0.535,0.444,0.548,0.53,0.629,0.0,0.358,0.474,0.669
NVDA,-0.474,0.894,0.965,0.914,0.358,0.117,0.358,0.0,0.796,0.891
PLUG,-0.421,0.741,0.841,0.753,0.297,0.088,0.474,0.796,0.0,0.833
TSLA,-0.317,0.853,0.899,0.918,0.424,0.351,0.669,0.891,0.833,0.0
