,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.445,0.472,0.433,-0.049,0.709,0.815,0.651,-0.023,0.509
AAPL,0.445,0.0,0.825,0.608,0.407,0.438,0.411,0.862,0.348,0.66
AMD,0.472,0.825,0.0,0.415,0.415,0.245,0.482,0.723,0.708,0.805
AMZN,0.433,0.608,0.415,0.0,0.259,0.763,0.599,0.764,0.087,0.662
GOOGL,-0.049,0.407,0.415,0.259,0.0,0.093,0.029,0.205,0.387,0.242
INTC,0.709,0.438,0.245,0.763,0.093,0.0,0.73,0.674,-0.194,0.445
MARA,0.815,0.411,0.482,0.599,0.029,0.73,0.0,0.722,0.181,0.68
NVDA,0.651,0.862,0.723,0.764,0.205,0.674,0.722,0.0,0.192,0.722
PLUG,-0.023,0.348,0.708,0.087,0.387,-0.194,0.181,0.192,0.0,0.647
TSLA,0.509,0.66,0.805,0.662,0.242,0.445,0.68,0.722,0.647,0.0
