,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.571,0.518,-0.067,0.338,0.594,0.36,0.378,0.407,0.34
AAPL,0.571,0.0,0.844,0.409,0.613,0.288,0.34,0.72,0.722,0.547
AMD,0.518,0.844,0.0,0.555,0.612,0.216,0.349,0.861,0.539,0.624
AMZN,-0.067,0.409,0.555,0.0,-0.031,0.179,0.477,0.701,-0.195,0.568
GOOGL,0.338,0.613,0.612,-0.031,0.0,-0.188,-0.27,0.53,0.822,0.269
INTC,0.594,0.288,0.216,0.179,-0.188,0.0,0.712,0.298,-0.134,0.376
MARA,0.36,0.34,0.349,0.477,-0.27,0.712,0.0,0.317,-0.19,0.562
NVDA,0.378,0.72,0.861,0.701,0.53,0.298,0.317,0.0,0.319,0.693
PLUG,0.407,0.722,0.539,-0.195,0.822,-0.134,-0.19,0.319,0.0,0.138
TSLA,0.34,0.547,0.624,0.568,0.269,0.376,0.562,0.693,0.138,0.0
