,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.534,0.352,0.726,0.692,0.14,0.557,0.176,0.752,0.358
AAPL,-0.534,0.0,-0.683,-0.539,-0.028,0.391,-0.766,-0.276,-0.764,-0.522
AMD,0.352,-0.683,0.0,0.732,0.079,-0.381,0.878,0.807,0.837,0.91
AMZN,0.726,-0.539,0.732,0.0,0.615,-0.09,0.774,0.666,0.873,0.721
GOOGL,0.692,-0.028,0.079,0.615,0.0,0.406,0.213,0.127,0.376,0.075
INTC,0.14,0.391,-0.381,-0.09,0.406,0.0,-0.277,-0.136,-0.255,-0.317
MARA,0.557,-0.766,0.878,0.774,0.213,-0.277,0.0,0.674,0.916,0.842
NVDA,0.176,-0.276,0.807,0.666,0.127,-0.136,0.674,0.0,0.608,0.852
PLUG,0.752,-0.764,0.837,0.873,0.376,-0.255,0.916,0.608,0.0,0.809
TSLA,0.358,-0.522,0.91,0.721,0.075,-0.317,0.842,0.852,0.809,0.0
