,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.427,-0.694,0.785,-0.387,0.161,-0.217,-0.276,0.58,-0.492
AAPL,-0.427,0.0,0.061,-0.21,0.158,-0.238,0.171,-0.023,-0.575,-0.026
AMD,-0.694,0.061,0.0,-0.819,0.642,0.033,0.515,0.731,-0.253,0.869
AMZN,0.785,-0.21,-0.819,0.0,-0.622,0.033,-0.625,-0.456,0.299,-0.748
GOOGL,-0.387,0.158,0.642,-0.622,0.0,-0.38,0.712,0.364,-0.179,0.539
INTC,0.161,-0.238,0.033,0.033,-0.38,0.0,0.064,0.415,0.423,0.225
MARA,-0.217,0.171,0.515,-0.625,0.712,0.064,0.0,0.51,0.062,0.605
NVDA,-0.276,-0.023,0.731,-0.456,0.364,0.415,0.51,0.0,0.023,0.741
PLUG,0.58,-0.575,-0.253,0.299,-0.179,0.423,0.062,0.023,0.0,-0.041
TSLA,-0.492,-0.026,0.869,-0.748,0.539,0.225,0.605,0.741,-0.041,0.0
