,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.568,0.017,-0.524,-0.066,0.221,0.569,-0.326,0.024,-0.198
AAPL,-0.568,0.0,0.316,0.519,0.299,-0.021,-0.06,0.635,0.12,0.66
AMD,0.017,0.316,0.0,0.603,-0.27,0.831,0.4,0.824,0.884,0.53
AMZN,-0.524,0.519,0.603,0.0,-0.021,0.323,-0.153,0.757,0.649,0.467
GOOGL,-0.066,0.299,-0.27,-0.021,0.0,-0.661,0.138,0.044,-0.501,0.348
INTC,0.221,-0.021,0.831,0.323,-0.661,0.0,0.326,0.507,0.877,0.128
MARA,0.569,-0.06,0.4,-0.153,0.138,0.326,0.0,0.139,0.237,0.385
NVDA,-0.326,0.635,0.824,0.757,0.044,0.507,0.139,0.0,0.639,0.623
PLUG,0.024,0.12,0.884,0.649,-0.501,0.877,0.237,0.639,0.0,0.32
TSLA,-0.198,0.66,0.53,0.467,0.348,0.128,0.385,0.623,0.32,0.0
