,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.122,0.023,0.096,0.222,0.324,-0.583,0.195,-0.354,0.139
AAPL,0.122,0.0,0.935,0.905,0.9,0.621,0.121,0.765,0.555,0.791
AMD,0.023,0.935,0.0,0.939,0.871,0.625,0.262,0.721,0.593,0.715
AMZN,0.096,0.905,0.939,0.0,0.943,0.631,0.271,0.672,0.598,0.686
GOOGL,0.222,0.9,0.871,0.943,0.0,0.744,0.098,0.738,0.482,0.7
INTC,0.324,0.621,0.625,0.631,0.744,0.0,-0.222,0.822,0.156,0.596
MARA,-0.583,0.121,0.262,0.271,0.098,-0.222,0.0,-0.154,0.653,0.072
NVDA,0.195,0.765,0.721,0.672,0.738,0.822,-0.154,0.0,0.326,0.729
PLUG,-0.354,0.555,0.593,0.598,0.482,0.156,0.653,0.326,0.0,0.512
TSLA,0.139,0.791,0.715,0.686,0.7,0.596,0.072,0.729,0.512,0.0
