,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.718,0.49,0.715,0.529,0.647,0.51,0.523,0.518,0.664
AAPL,0.718,0.0,0.693,0.89,0.623,0.739,0.463,0.799,0.594,0.874
AMD,0.49,0.693,0.0,0.846,0.812,0.341,0.368,0.961,0.719,0.801
AMZN,0.715,0.89,0.846,0.0,0.809,0.641,0.489,0.865,0.727,0.924
GOOGL,0.529,0.623,0.812,0.809,0.0,0.35,0.402,0.751,0.636,0.707
INTC,0.647,0.739,0.341,0.641,0.35,0.0,0.581,0.419,0.555,0.696
MARA,0.51,0.463,0.368,0.489,0.402,0.581,0.0,0.369,0.484,0.451
NVDA,0.523,0.799,0.961,0.865,0.751,0.419,0.369,0.0,0.672,0.835
PLUG,0.518,0.594,0.719,0.727,0.636,0.555,0.484,0.672,0.0,0.871
TSLA,0.664,0.874,0.801,0.924,0.707,0.696,0.451,0.835,0.871,0.0
