,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.438,0.261,0.794,0.343,0.653,0.828,0.204,0.691,0.672
AAPL,0.438,0.0,0.282,0.594,0.661,0.454,0.503,0.235,0.277,0.668
AMD,0.261,0.282,0.0,0.437,0.788,0.746,0.265,0.934,0.055,0.641
AMZN,0.794,0.594,0.437,0.0,0.628,0.813,0.911,0.373,0.802,0.855
GOOGL,0.343,0.661,0.788,0.628,0.0,0.792,0.419,0.742,0.215,0.834
INTC,0.653,0.454,0.746,0.813,0.792,0.0,0.656,0.73,0.455,0.854
MARA,0.828,0.503,0.265,0.911,0.419,0.656,0.0,0.177,0.886,0.685
NVDA,0.204,0.235,0.934,0.373,0.742,0.73,0.177,0.0,-0.064,0.562
PLUG,0.691,0.277,0.055,0.802,0.215,0.455,0.886,-0.064,0.0,0.518
TSLA,0.672,0.668,0.641,0.855,0.834,0.854,0.685,0.562,0.518,0.0
