,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.717,0.346,0.458,0.425,-0.056,0.436,0.598,0.814,-0.112
AAPL,0.717,0.0,0.416,0.784,0.766,-0.553,0.431,0.92,0.695,0.442
AMD,0.346,0.416,0.0,0.142,0.527,0.014,0.572,0.591,0.339,0.257
AMZN,0.458,0.784,0.142,0.0,0.701,-0.732,0.376,0.781,0.372,0.436
GOOGL,0.425,0.766,0.527,0.701,0.0,-0.689,0.417,0.874,0.502,0.581
INTC,-0.056,-0.553,0.014,-0.732,-0.689,0.0,0.052,-0.628,-0.108,-0.7
MARA,0.436,0.431,0.572,0.376,0.417,0.052,0.0,0.494,0.225,0.017
NVDA,0.598,0.92,0.591,0.781,0.874,-0.628,0.494,0.0,0.595,0.573
PLUG,0.814,0.695,0.339,0.372,0.502,-0.108,0.225,0.595,0.0,0.087
TSLA,-0.112,0.442,0.257,0.436,0.581,-0.7,0.017,0.573,0.087,0.0
