,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.298,0.088,-0.435,-0.159,-0.462,0.0,-0.288,0.467,-0.311
AAPL,-0.298,0.0,0.62,0.613,0.775,0.075,0.774,0.734,0.33,0.296
AMD,0.088,0.62,0.0,0.012,0.746,0.012,0.813,0.732,0.606,-0.333
AMZN,-0.435,0.613,0.012,0.0,0.552,0.344,0.338,0.493,-0.118,0.839
GOOGL,-0.159,0.775,0.746,0.552,0.0,0.385,0.745,0.85,0.262,0.242
INTC,-0.462,0.075,0.012,0.344,0.385,0.0,-0.071,0.404,-0.562,0.315
MARA,0.0,0.774,0.813,0.338,0.745,-0.071,0.0,0.703,0.659,-0.031
NVDA,-0.288,0.734,0.732,0.493,0.85,0.404,0.703,0.0,0.185,0.133
PLUG,0.467,0.33,0.606,-0.118,0.262,-0.562,0.659,0.185,0.0,-0.276
TSLA,-0.311,0.296,-0.333,0.839,0.242,0.315,-0.031,0.133,-0.276,0.0
