,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.622,0.404,-0.371,-0.636,-0.323,0.721,0.672,0.716,0.904
AAPL,0.622,0.0,0.272,-0.825,-0.336,-0.085,0.868,0.789,0.863,0.737
AMD,0.404,0.272,0.0,0.132,0.033,0.247,0.399,0.693,0.532,0.567
AMZN,-0.371,-0.825,0.132,0.0,0.381,0.324,-0.608,-0.423,-0.57,-0.433
GOOGL,-0.636,-0.336,0.033,0.381,0.0,0.768,-0.412,-0.156,-0.437,-0.488
INTC,-0.323,-0.085,0.247,0.324,0.768,0.0,-0.183,0.115,-0.146,-0.209
MARA,0.721,0.868,0.399,-0.608,-0.412,-0.183,0.0,0.795,0.905,0.822
NVDA,0.672,0.789,0.693,-0.423,-0.156,0.115,0.795,0.0,0.875,0.803
PLUG,0.716,0.863,0.532,-0.57,-0.437,-0.146,0.905,0.875,0.0,0.821
TSLA,0.904,0.737,0.567,-0.433,-0.488,-0.209,0.822,0.803,0.821,0.0
