,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.023,-0.364,-0.133,-0.285,-0.136,-0.318,-0.236,0.128,0.289
AAPL,0.023,0.0,0.731,0.829,0.867,0.791,0.734,0.826,0.819,0.861
AMD,-0.364,0.731,0.0,0.915,0.909,0.914,0.97,0.956,0.513,0.421
AMZN,-0.133,0.829,0.915,0.0,0.958,0.841,0.948,0.964,0.753,0.672
GOOGL,-0.285,0.867,0.909,0.958,0.0,0.823,0.934,0.969,0.766,0.672
INTC,-0.136,0.791,0.914,0.841,0.823,0.0,0.86,0.888,0.531,0.529
MARA,-0.318,0.734,0.97,0.948,0.934,0.86,0.0,0.973,0.589,0.482
NVDA,-0.236,0.826,0.956,0.964,0.969,0.888,0.973,0.0,0.675,0.597
PLUG,0.128,0.819,0.513,0.753,0.766,0.531,0.589,0.675,0.0,0.859
TSLA,0.289,0.861,0.421,0.672,0.672,0.529,0.482,0.597,0.859,0.0
