,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.87,-0.639,-0.776,-0.779,-0.018,0.281,-0.714,0.371,-0.303
AAPL,-0.87,0.0,0.619,0.871,0.961,0.071,-0.491,0.677,-0.53,0.3
AMD,-0.639,0.619,0.0,0.397,0.55,0.177,0.254,0.932,0.131,0.629
AMZN,-0.776,0.871,0.397,0.0,0.866,-0.104,-0.565,0.505,-0.634,0.002
GOOGL,-0.779,0.961,0.55,0.866,0.0,0.159,-0.525,0.638,-0.551,0.272
INTC,-0.018,0.071,0.177,-0.104,0.159,0.0,0.285,0.217,-0.009,0.264
MARA,0.281,-0.491,0.254,-0.565,-0.525,0.285,0.0,0.172,0.76,0.278
NVDA,-0.714,0.677,0.932,0.505,0.638,0.217,0.172,0.0,0.118,0.685
PLUG,0.371,-0.53,0.131,-0.634,-0.551,-0.009,0.76,0.118,0.0,0.407
TSLA,-0.303,0.3,0.629,0.002,0.272,0.264,0.278,0.685,0.407,0.0
