,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.423,0.73,0.605,0.605,-0.457,0.359,0.657,0.546,-0.797
AAPL,0.423,0.0,0.567,-0.071,0.742,0.471,-0.259,0.028,-0.207,-0.007
AMD,0.73,0.567,0.0,0.417,0.61,-0.108,0.057,0.457,0.332,-0.625
AMZN,0.605,-0.071,0.417,0.0,0.056,-0.668,0.615,0.961,0.744,-0.682
GOOGL,0.605,0.742,0.61,0.056,0.0,0.171,0.106,0.132,-0.13,-0.19
INTC,-0.457,0.471,-0.108,-0.668,0.171,0.0,-0.466,-0.626,-0.712,0.711
MARA,0.359,-0.259,0.057,0.615,0.106,-0.466,0.0,0.632,0.458,-0.281
NVDA,0.657,0.028,0.457,0.961,0.132,-0.626,0.632,0.0,0.757,-0.707
PLUG,0.546,-0.207,0.332,0.744,-0.13,-0.712,0.458,0.757,0.0,-0.752
TSLA,-0.797,-0.007,-0.625,-0.682,-0.19,0.711,-0.281,-0.707,-0.752,0.0
