,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.891,0.955,0.9,0.724,0.964,0.914,0.95,0.671,0.654
AAPL,0.891,0.0,0.791,0.963,0.923,0.86,0.827,0.906,0.895,0.838
AMD,0.955,0.791,0.0,0.847,0.635,0.947,0.93,0.947,0.552,0.551
AMZN,0.9,0.963,0.847,0.0,0.907,0.898,0.897,0.95,0.882,0.794
GOOGL,0.724,0.923,0.635,0.907,0.0,0.681,0.72,0.817,0.941,0.904
INTC,0.964,0.86,0.947,0.898,0.681,0.0,0.924,0.935,0.638,0.591
MARA,0.914,0.827,0.93,0.897,0.72,0.924,0.0,0.962,0.676,0.672
NVDA,0.95,0.906,0.947,0.95,0.817,0.935,0.962,0.0,0.76,0.746
PLUG,0.671,0.895,0.552,0.882,0.941,0.638,0.676,0.76,0.0,0.859
TSLA,0.654,0.838,0.551,0.794,0.904,0.591,0.672,0.746,0.859,0.0
