,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.836,0.882,0.962,0.939,0.859,0.94,0.861,0.581,0.86
AAPL,0.836,0.0,0.968,0.933,0.94,0.978,0.794,0.979,0.425,0.907
AMD,0.882,0.968,0.0,0.948,0.948,0.988,0.852,0.993,0.539,0.88
AMZN,0.962,0.933,0.948,0.0,0.99,0.951,0.93,0.936,0.494,0.883
GOOGL,0.939,0.94,0.948,0.99,0.0,0.956,0.933,0.94,0.46,0.873
INTC,0.859,0.978,0.988,0.951,0.956,0.0,0.845,0.985,0.468,0.858
MARA,0.94,0.794,0.852,0.93,0.933,0.845,0.0,0.83,0.479,0.778
NVDA,0.861,0.979,0.993,0.936,0.94,0.985,0.83,0.0,0.499,0.894
PLUG,0.581,0.425,0.539,0.494,0.46,0.468,0.479,0.499,0.0,0.543
TSLA,0.86,0.907,0.88,0.883,0.873,0.858,0.778,0.894,0.543,0.0
