,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.264,0.223,0.488,0.162,0.064,0.632,0.207,0.62,0.86
AAPL,0.264,0.0,0.952,0.889,0.931,0.946,0.518,0.951,0.018,0.104
AMD,0.223,0.952,0.0,0.847,0.934,0.979,0.449,0.985,0.071,0.031
AMZN,0.488,0.889,0.847,0.0,0.898,0.807,0.76,0.794,0.236,0.224
GOOGL,0.162,0.931,0.934,0.898,0.0,0.947,0.527,0.897,-0.048,-0.086
INTC,0.064,0.946,0.979,0.807,0.947,0.0,0.361,0.965,-0.071,-0.12
MARA,0.632,0.518,0.449,0.76,0.527,0.361,0.0,0.398,0.371,0.504
NVDA,0.207,0.951,0.985,0.794,0.897,0.965,0.398,0.0,0.013,0.062
PLUG,0.62,0.018,0.071,0.236,-0.048,-0.071,0.371,0.013,0.0,0.544
TSLA,0.86,0.104,0.031,0.224,-0.086,-0.12,0.504,0.062,0.544,0.0
