,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.898,0.795,0.514,-0.224,0.3,0.844,0.148,0.711,0.55
AAPL,0.898,0.0,0.839,0.637,0.014,0.431,0.776,0.404,0.551,0.614
AMD,0.795,0.839,0.0,0.713,0.138,0.712,0.71,0.579,0.436,0.609
AMZN,0.514,0.637,0.713,0.0,0.459,0.71,0.747,0.735,0.295,0.747
GOOGL,-0.224,0.014,0.138,0.459,0.0,0.338,0.011,0.628,-0.521,0.268
INTC,0.3,0.431,0.712,0.71,0.338,0.0,0.437,0.781,0.282,0.656
MARA,0.844,0.776,0.71,0.747,0.011,0.437,0.0,0.29,0.675,0.732
NVDA,0.148,0.404,0.579,0.735,0.628,0.781,0.29,0.0,-0.039,0.595
PLUG,0.711,0.551,0.436,0.295,-0.521,0.282,0.675,-0.039,0.0,0.533
TSLA,0.55,0.614,0.609,0.747,0.268,0.656,0.732,0.595,0.533,0.0
