,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.679,0.471,-0.701,0.34,0.792,0.08,-0.585,-0.701,-0.438
AAPL,-0.679,0.0,-0.082,0.956,0.111,-0.657,0.015,0.924,0.774,0.789
AMD,0.471,-0.082,0.0,-0.102,0.743,0.538,0.37,0.092,-0.522,0.118
AMZN,-0.701,0.956,-0.102,0.0,0.119,-0.636,0.01,0.926,0.799,0.804
GOOGL,0.34,0.111,0.743,0.119,0.0,0.495,0.381,0.243,-0.226,0.123
INTC,0.792,-0.657,0.538,-0.636,0.495,0.0,0.319,-0.501,-0.609,-0.431
MARA,0.08,0.015,0.37,0.01,0.381,0.319,0.0,0.147,-0.095,-0.132
NVDA,-0.585,0.924,0.092,0.926,0.243,-0.501,0.147,0.0,0.67,0.783
PLUG,-0.701,0.774,-0.522,0.799,-0.226,-0.609,-0.095,0.67,0.0,0.627
TSLA,-0.438,0.789,0.118,0.804,0.123,-0.431,-0.132,0.783,0.627,0.0
