,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.161,-0.156,-0.202,-0.126,0.064,0.137,-0.258,-0.412,-0.305
AAPL,-0.161,0.0,0.831,0.936,0.936,0.774,-0.861,0.937,0.692,0.925
AMD,-0.156,0.831,0.0,0.821,0.759,0.716,-0.535,0.804,0.479,0.718
AMZN,-0.202,0.936,0.821,0.0,0.973,0.803,-0.845,0.941,0.741,0.927
GOOGL,-0.126,0.936,0.759,0.973,0.0,0.847,-0.892,0.943,0.696,0.9
INTC,0.064,0.774,0.716,0.803,0.847,0.0,-0.694,0.851,0.477,0.704
MARA,0.137,-0.861,-0.535,-0.845,-0.892,-0.694,0.0,-0.839,-0.629,-0.869
NVDA,-0.258,0.937,0.804,0.941,0.943,0.851,-0.839,0.0,0.71,0.912
PLUG,-0.412,0.692,0.479,0.741,0.696,0.477,-0.629,0.71,0.0,0.779
TSLA,-0.305,0.925,0.718,0.927,0.9,0.704,-0.869,0.912,0.779,0.0
