,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.124,0.162,0.197,0.521,-0.136,0.173,0.044,0.262,-0.089
AAPL,0.124,0.0,0.961,0.978,0.758,-0.614,0.846,0.848,0.892,0.94
AMD,0.162,0.961,0.0,0.964,0.726,-0.521,0.877,0.914,0.872,0.934
AMZN,0.197,0.978,0.964,0.0,0.79,-0.661,0.837,0.849,0.905,0.929
GOOGL,0.521,0.758,0.726,0.79,0.0,-0.628,0.601,0.595,0.824,0.632
INTC,-0.136,-0.614,-0.521,-0.661,-0.628,0.0,-0.238,-0.247,-0.774,-0.555
MARA,0.173,0.846,0.877,0.837,0.601,-0.238,0.0,0.853,0.718,0.794
NVDA,0.044,0.848,0.914,0.849,0.595,-0.247,0.853,0.0,0.659,0.885
PLUG,0.262,0.892,0.872,0.905,0.824,-0.774,0.718,0.659,0.0,0.816
TSLA,-0.089,0.94,0.934,0.929,0.632,-0.555,0.794,0.885,0.816,0.0
