,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.575,0.404,0.714,-0.194,0.327,-0.011,0.199,-0.345,0.794
AAPL,0.575,0.0,0.773,0.726,0.381,0.535,0.337,0.783,0.193,0.599
AMD,0.404,0.773,0.0,0.79,0.7,0.664,0.519,0.936,0.614,0.69
AMZN,0.714,0.726,0.79,0.0,0.247,0.653,0.088,0.66,0.249,0.902
GOOGL,-0.194,0.381,0.7,0.247,0.0,0.467,0.683,0.748,0.811,0.151
INTC,0.327,0.535,0.664,0.653,0.467,0.0,0.29,0.596,0.482,0.459
MARA,-0.011,0.337,0.519,0.088,0.683,0.29,0.0,0.548,0.525,0.008
NVDA,0.199,0.783,0.936,0.66,0.748,0.596,0.548,0.0,0.708,0.507
PLUG,-0.345,0.193,0.614,0.249,0.811,0.482,0.525,0.708,0.0,0.124
TSLA,0.794,0.599,0.69,0.902,0.151,0.459,0.008,0.507,0.124,0.0
