,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.31,0.243,0.275,0.155,-0.133,-0.754,-0.092,-0.684,-0.763
AAPL,-0.31,0.0,-0.47,0.655,0.199,-0.313,0.221,-0.378,0.136,0.062
AMD,0.243,-0.47,0.0,-0.371,0.29,0.493,0.103,0.81,0.22,0.124
AMZN,0.275,0.655,-0.371,0.0,0.158,-0.364,-0.387,-0.454,-0.455,-0.432
GOOGL,0.155,0.199,0.29,0.158,0.0,0.424,0.199,0.182,0.184,0.208
INTC,-0.133,-0.313,0.493,-0.364,0.424,0.0,0.436,0.445,0.428,0.618
MARA,-0.754,0.221,0.103,-0.387,0.199,0.436,0.0,0.276,0.943,0.908
NVDA,-0.092,-0.378,0.81,-0.454,0.182,0.445,0.276,0.0,0.408,0.303
PLUG,-0.684,0.136,0.22,-0.455,0.184,0.428,0.943,0.408,0.0,0.859
TSLA,-0.763,0.062,0.124,-0.432,0.208,0.618,0.908,0.303,0.859,0.0
