,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.235,-0.325,0.417,-0.696,-0.389,-0.38,-0.582,-0.712,0.639
AAPL,-0.235,0.0,0.67,0.191,0.694,0.634,0.762,0.703,0.454,-0.048
AMD,-0.325,0.67,0.0,0.492,0.815,0.717,0.817,0.921,0.81,0.206
AMZN,0.417,0.191,0.492,0.0,0.071,0.389,0.151,0.24,0.178,0.788
GOOGL,-0.696,0.694,0.815,0.071,0.0,0.738,0.774,0.898,0.85,-0.162
INTC,-0.389,0.634,0.717,0.389,0.738,0.0,0.547,0.702,0.677,0.004
MARA,-0.38,0.762,0.817,0.151,0.774,0.547,0.0,0.856,0.706,-0.132
NVDA,-0.582,0.703,0.921,0.24,0.898,0.702,0.856,0.0,0.904,-0.084
PLUG,-0.712,0.454,0.81,0.178,0.85,0.677,0.706,0.904,0.0,-0.132
TSLA,0.639,-0.048,0.206,0.788,-0.162,0.004,-0.132,-0.084,-0.132,0.0
