,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.819,0.661,0.895,0.786,0.926,0.799,0.761,0.742,0.853
AAPL,0.819,0.0,0.881,0.885,0.943,0.838,0.745,0.901,0.867,0.917
AMD,0.661,0.881,0.0,0.827,0.927,0.742,0.569,0.928,0.901,0.843
AMZN,0.895,0.885,0.827,0.0,0.891,0.928,0.672,0.905,0.804,0.878
GOOGL,0.786,0.943,0.927,0.891,0.0,0.864,0.713,0.948,0.852,0.948
INTC,0.926,0.838,0.742,0.928,0.864,0.0,0.822,0.85,0.771,0.897
MARA,0.799,0.745,0.569,0.672,0.713,0.822,0.0,0.663,0.72,0.816
NVDA,0.761,0.901,0.928,0.905,0.948,0.85,0.663,0.0,0.82,0.91
PLUG,0.742,0.867,0.901,0.804,0.852,0.771,0.72,0.82,0.0,0.826
TSLA,0.853,0.917,0.843,0.878,0.948,0.897,0.816,0.91,0.826,0.0
