,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.308,0.862,0.795,0.641,0.206,0.881,0.828,0.575,0.375
AAPL,0.308,0.0,0.572,0.318,0.495,-0.432,0.524,0.596,0.593,0.691
AMD,0.862,0.572,0.0,0.667,0.675,-0.209,0.95,0.961,0.787,0.633
AMZN,0.795,0.318,0.667,0.0,0.534,0.314,0.665,0.608,0.262,0.073
GOOGL,0.641,0.495,0.675,0.534,0.0,-0.109,0.679,0.782,0.739,0.671
INTC,0.206,-0.432,-0.209,0.314,-0.109,0.0,-0.04,-0.288,-0.406,-0.617
MARA,0.881,0.524,0.95,0.665,0.679,-0.04,0.0,0.906,0.782,0.57
NVDA,0.828,0.596,0.961,0.608,0.782,-0.288,0.906,0.0,0.864,0.759
PLUG,0.575,0.593,0.787,0.262,0.739,-0.406,0.782,0.864,0.0,0.863
TSLA,0.375,0.691,0.633,0.073,0.671,-0.617,0.57,0.759,0.863,0.0
