,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.606,0.895,0.809,0.744,0.331,0.694,0.784,0.409,0.597
AAPL,0.606,0.0,0.771,0.695,0.893,0.906,0.86,0.802,0.762,0.895
AMD,0.895,0.771,0.0,0.712,0.794,0.564,0.727,0.763,0.529,0.655
AMZN,0.809,0.695,0.712,0.0,0.889,0.481,0.882,0.947,0.699,0.854
GOOGL,0.744,0.893,0.794,0.889,0.0,0.747,0.957,0.928,0.842,0.934
INTC,0.331,0.906,0.564,0.481,0.747,0.0,0.713,0.645,0.747,0.79
MARA,0.694,0.86,0.727,0.882,0.957,0.713,0.0,0.924,0.877,0.948
NVDA,0.784,0.802,0.763,0.947,0.928,0.645,0.924,0.0,0.753,0.904
PLUG,0.409,0.762,0.529,0.699,0.842,0.747,0.877,0.753,0.0,0.889
TSLA,0.597,0.895,0.655,0.854,0.934,0.79,0.948,0.904,0.889,0.0
