,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.82,-0.348,0.258,0.764,0.814,0.83,-0.436,0.534,-0.031
AAPL,-0.82,0.0,0.364,-0.077,-0.618,-0.682,-0.767,0.587,-0.434,0.29
AMD,-0.348,0.364,0.0,0.552,0.044,-0.44,-0.257,0.835,0.388,0.636
AMZN,0.258,-0.077,0.552,0.0,0.658,-0.065,0.069,0.453,0.735,0.409
GOOGL,0.764,-0.618,0.044,0.658,0.0,0.588,0.554,-0.116,0.697,0.114
INTC,0.814,-0.682,-0.44,-0.065,0.588,0.0,0.705,-0.533,0.188,-0.127
MARA,0.83,-0.767,-0.257,0.069,0.554,0.705,0.0,-0.305,0.394,0.008
NVDA,-0.436,0.587,0.835,0.453,-0.116,-0.533,-0.305,0.0,0.194,0.718
PLUG,0.534,-0.434,0.388,0.735,0.697,0.188,0.394,0.194,0.0,0.344
TSLA,-0.031,0.29,0.636,0.409,0.114,-0.127,0.008,0.718,0.344,0.0
