,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.398,0.299,0.38,0.596,0.376,0.48,0.195,0.177,0.146
AAPL,0.398,0.0,0.976,0.968,0.926,0.737,0.872,0.87,0.421,0.474
AMD,0.299,0.976,0.0,0.951,0.881,0.721,0.853,0.842,0.444,0.477
AMZN,0.38,0.968,0.951,0.0,0.937,0.703,0.797,0.815,0.281,0.31
GOOGL,0.596,0.926,0.881,0.937,0.0,0.717,0.785,0.765,0.275,0.33
INTC,0.376,0.737,0.721,0.703,0.717,0.0,0.739,0.802,0.566,0.604
MARA,0.48,0.872,0.853,0.797,0.785,0.739,0.0,0.766,0.577,0.687
NVDA,0.195,0.87,0.842,0.815,0.765,0.802,0.766,0.0,0.536,0.59
PLUG,0.177,0.421,0.444,0.281,0.275,0.566,0.577,0.536,0.0,0.757
TSLA,0.146,0.474,0.477,0.31,0.33,0.604,0.687,0.59,0.757,0.0
