,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.923,0.93,0.82,0.602,0.973,0.951,0.934,0.728,0.738
AAPL,0.923,0.0,0.871,0.936,0.833,0.91,0.901,0.963,0.907,0.879
AMD,0.93,0.871,0.0,0.857,0.651,0.936,0.834,0.946,0.66,0.621
AMZN,0.82,0.936,0.857,0.0,0.907,0.844,0.779,0.939,0.892,0.784
GOOGL,0.602,0.833,0.651,0.907,0.0,0.601,0.567,0.797,0.893,0.809
INTC,0.973,0.91,0.936,0.844,0.601,0.0,0.944,0.933,0.712,0.695
MARA,0.951,0.901,0.834,0.779,0.567,0.944,0.0,0.895,0.759,0.771
NVDA,0.934,0.963,0.946,0.939,0.797,0.933,0.895,0.0,0.844,0.8
PLUG,0.728,0.907,0.66,0.892,0.893,0.712,0.759,0.844,0.0,0.879
TSLA,0.738,0.879,0.621,0.784,0.809,0.695,0.771,0.8,0.879,0.0
