,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.779,-0.81,-0.523,-0.5,0.68,-0.697,-0.718,-0.738,-0.698
AAPL,-0.779,0.0,0.915,0.717,0.607,-0.545,0.856,0.82,0.733,0.766
AMD,-0.81,0.915,0.0,0.59,0.596,-0.68,0.915,0.91,0.876,0.875
AMZN,-0.523,0.717,0.59,0.0,0.513,-0.031,0.601,0.379,0.399,0.282
GOOGL,-0.5,0.607,0.596,0.513,0.0,-0.32,0.598,0.72,0.673,0.663
INTC,0.68,-0.545,-0.68,-0.031,-0.32,0.0,-0.459,-0.782,-0.63,-0.814
MARA,-0.697,0.856,0.915,0.601,0.598,-0.459,0.0,0.815,0.87,0.791
NVDA,-0.718,0.82,0.91,0.379,0.72,-0.782,0.815,0.0,0.889,0.984
PLUG,-0.738,0.733,0.876,0.399,0.673,-0.63,0.87,0.889,0.0,0.885
TSLA,-0.698,0.766,0.875,0.282,0.663,-0.814,0.791,0.984,0.885,0.0
