,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.884,0.465,0.878,0.846,0.69,0.701,0.849,0.781,0.897
AAPL,0.884,0.0,0.569,0.939,0.978,0.879,0.854,0.908,0.93,0.983
AMD,0.465,0.569,0.0,0.681,0.635,0.787,0.806,0.786,0.325,0.453
AMZN,0.878,0.939,0.681,0.0,0.961,0.841,0.929,0.964,0.838,0.92
GOOGL,0.846,0.978,0.635,0.961,0.0,0.893,0.909,0.935,0.91,0.951
INTC,0.69,0.879,0.787,0.841,0.893,0.0,0.887,0.891,0.736,0.813
MARA,0.701,0.854,0.806,0.929,0.909,0.887,0.0,0.945,0.724,0.801
NVDA,0.849,0.908,0.786,0.964,0.935,0.891,0.945,0.0,0.754,0.86
PLUG,0.781,0.93,0.325,0.838,0.91,0.736,0.724,0.754,0.0,0.944
TSLA,0.897,0.983,0.453,0.92,0.951,0.813,0.801,0.86,0.944,0.0
