,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,-0.62,0.211,0.723,0.588,-0.807,0.668,-0.407,0.675,0.674
AAPL,-0.62,0.0,-0.133,-0.462,-0.401,0.667,-0.497,0.156,-0.492,-0.381
AMD,0.211,-0.133,0.0,0.22,0.641,0.056,0.76,0.245,0.659,0.731
AMZN,0.723,-0.462,0.22,0.0,0.764,-0.811,0.569,-0.576,0.537,0.609
GOOGL,0.588,-0.401,0.641,0.764,0.0,-0.602,0.768,-0.452,0.703,0.84
INTC,-0.807,0.667,0.056,-0.811,-0.602,0.0,-0.464,0.676,-0.392,-0.448
MARA,0.668,-0.497,0.76,0.569,0.768,-0.464,0.0,-0.047,0.875,0.912
NVDA,-0.407,0.156,0.245,-0.576,-0.452,0.676,-0.047,0.0,-0.041,-0.202
PLUG,0.675,-0.492,0.659,0.537,0.703,-0.392,0.875,-0.041,0.0,0.909
TSLA,0.674,-0.381,0.731,0.609,0.84,-0.448,0.912,-0.202,0.909,0.0
