,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.702,-0.062,0.342,0.321,0.373,0.101,0.218,0.643,0.746
AAPL,0.702,0.0,0.3,0.684,0.727,0.741,0.461,0.549,0.864,0.952
AMD,-0.062,0.3,0.0,0.816,0.779,0.769,0.933,0.91,0.247,0.087
AMZN,0.342,0.684,0.816,0.0,0.958,0.799,0.925,0.946,0.703,0.57
GOOGL,0.321,0.727,0.779,0.958,0.0,0.797,0.881,0.931,0.748,0.607
INTC,0.373,0.741,0.769,0.799,0.797,0.0,0.786,0.814,0.541,0.559
MARA,0.101,0.461,0.933,0.925,0.881,0.786,0.0,0.96,0.457,0.296
NVDA,0.218,0.549,0.91,0.946,0.931,0.814,0.96,0.0,0.544,0.387
PLUG,0.643,0.864,0.247,0.703,0.748,0.541,0.457,0.544,0.0,0.875
TSLA,0.746,0.952,0.087,0.57,0.607,0.559,0.296,0.387,0.875,0.0
