,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.714,0.806,0.872,0.584,-0.059,0.488,0.842,-0.383,0.458
AAPL,0.714,0.0,0.722,0.675,0.771,0.53,0.768,0.833,0.061,0.828
AMD,0.806,0.722,0.0,0.774,0.745,0.266,0.578,0.814,-0.032,0.528
AMZN,0.872,0.675,0.774,0.0,0.759,0.105,0.631,0.892,-0.077,0.591
GOOGL,0.584,0.771,0.745,0.759,0.0,0.62,0.899,0.865,0.409,0.815
INTC,-0.059,0.53,0.266,0.105,0.62,0.0,0.633,0.363,0.66,0.649
MARA,0.488,0.768,0.578,0.631,0.899,0.633,0.0,0.797,0.528,0.934
NVDA,0.842,0.833,0.814,0.892,0.865,0.363,0.797,0.0,0.055,0.771
PLUG,-0.383,0.061,-0.032,-0.077,0.409,0.66,0.528,0.055,0.0,0.503
TSLA,0.458,0.828,0.528,0.591,0.815,0.649,0.934,0.771,0.503,0.0
