,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.882,0.781,0.481,-0.492,0.125,0.93,-0.201,0.714,0.494
AAPL,0.882,0.0,0.821,0.6,-0.215,0.289,0.79,0.122,0.543,0.545
AMD,0.781,0.821,0.0,0.672,-0.121,0.596,0.674,0.246,0.433,0.511
AMZN,0.481,0.6,0.672,0.0,0.096,0.529,0.556,0.322,0.297,0.584
GOOGL,-0.492,-0.215,-0.121,0.096,0.0,0.164,-0.556,0.588,-0.714,-0.017
INTC,0.125,0.289,0.596,0.529,0.164,0.0,0.09,0.651,0.201,0.48
MARA,0.93,0.79,0.674,0.556,-0.556,0.09,0.0,-0.267,0.784,0.605
NVDA,-0.201,0.122,0.246,0.322,0.588,0.651,-0.267,0.0,-0.234,0.244
PLUG,0.714,0.543,0.433,0.297,-0.714,0.201,0.784,-0.234,0.0,0.528
TSLA,0.494,0.545,0.511,0.584,-0.017,0.48,0.605,0.244,0.528,0.0
