,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.649,0.515,0.361,0.06,0.163,0.681,0.516,0.734,0.154
AAPL,0.649,0.0,0.839,0.854,0.136,-0.144,0.836,0.892,0.833,0.53
AMD,0.515,0.839,0.0,0.746,-0.081,-0.364,0.854,0.725,0.579,0.291
AMZN,0.361,0.854,0.746,0.0,0.334,-0.217,0.605,0.854,0.725,0.659
GOOGL,0.06,0.136,-0.081,0.334,0.0,0.274,-0.227,0.445,0.5,0.782
INTC,0.163,-0.144,-0.364,-0.217,0.274,0.0,-0.206,-0.01,0.164,0.145
MARA,0.681,0.836,0.854,0.605,-0.227,-0.206,0.0,0.635,0.622,0.126
NVDA,0.516,0.892,0.725,0.854,0.445,-0.01,0.635,0.0,0.877,0.817
PLUG,0.734,0.833,0.579,0.725,0.5,0.164,0.622,0.877,0.0,0.692
TSLA,0.154,0.53,0.291,0.659,0.782,0.145,0.126,0.817,0.692,0.0
