,AAL,AAPL,AMD,AMZN,GOOGL,INTC,MARA,NVDA,PLUG,TSLA
AAL,0.0,0.567,-0.149,-0.019,-0.302,-0.093,0.861,-0.448,0.015,0.879
AAPL,0.567,0.0,-0.817,-0.443,0.46,-0.477,0.602,-0.838,-0.507,0.814
AMD,-0.149,-0.817,0.0,0.651,-0.584,0.561,-0.32,0.848,0.568,-0.486
AMZN,-0.019,-0.443,0.651,0.0,-0.179,0.037,-0.199,0.723,-0.055,-0.326
GOOGL,-0.302,0.46,-0.584,-0.179,0.0,-0.468,-0.312,-0.253,-0.659,-0.073
INTC,-0.093,-0.477,0.561,0.037,-0.468,0.0,-0.238,0.329,0.66,-0.199
MARA,0.861,0.602,-0.32,-0.199,-0.312,-0.238,0.0,-0.533,-0.012,0.876
NVDA,-0.448,-0.838,0.848,0.723,-0.253,0.329,-0.533,0.0,0.247,-0.736
PLUG,0.015,-0.507,0.568,-0.055,-0.659,0.66,-0.012,0.247,0.0,-0.144
TSLA,0.879,0.814,-0.486,-0.326,-0.073,-0.199,0.876,-0.736,-0.144,0.0
